Index,Micros,BMP,Temperature (°C),Pressure (hPa),Altitude (m),,,,,,
Index,Micros,GPS,Latitude,Longitude,Altitude,Speed,Satellites,,,,
Index,Micros,BNO,Yaw,Pitch,Roll,MagX,MagY,MagZ,AccX,AccY,AccZ
,,,,,,,,,,,
881,113963817,GPS,0,0,0,0,0,0,,,
882,113997759,BMP390,21.2,1007.48,-0.39,,,,,,
883,114057082,BNO,-98.81,-2.77,-10.31,-8.81,-44.19,-112.69,-0.05,-0.15,0.21
884,114112694,BMP390,21.2,1007.49,-0.48,,,,,,
885,114172058,BNO,-97.89,-3.18,-10.37,-8.81,-44.19,-112.69,-0.05,-0.15,0.21
886,114267708,GPS,0,0,0,0,0,0,,,
887,114302322,BMP390,21.2,1007.48,-0.42,,,,,,
888,114361679,BNO,-97.91,-2.38,-9.52,-8.81,-44.19,-112.69,-0.05,-0.15,0.21
889,114416418,BMP390,21.19,1007.49,-0.47,,,,,,
890,114475790,BNO,-97.8,-2.57,-9.94,-8.81,-44.19,-112.69,-0.05,-0.15,0.21
891,114535367,GPS,0,0,0,0,0,0,,,
892,114568333,BMP390,21.19,1007.49,-0.44,,,,,,
893,114627672,BNO,-97.8,-2.57,-9.94,-8.81,-44.19,-112.69,0.11,0.06,-0.32
894,114682370,BMP390,21.19,1007.49,-0.44,,,,,,
895,114741751,BNO,-98.07,-2.43,-9.62,-8.81,-44.19,-112.69,0.11,0.06,-0.32
896,114801893,GPS,0,0,0,0,0,0,,,
897,114836523,BMP390,21.19,1007.49,-0.44,,,,,,
898,114895856,BNO,-97.94,-2.64,-9.94,-8.81,-44.19,-112.69,0.11,0.06,-0.32
899,114949845,BMP390,21.19,1007.49,-0.46,,,,,,
900,115009665,BNO,-97.94,-2.64,-9.94,-10.44,-41.88,-111.13,0.11,0.06,-0.32
901,115071753,GPS,0,0,0,0,0,0,,,
902,115105384,BMP390,21.19,1007.49,-0.47,,,,,,
903,115164778,BNO,-97.94,-2.64,-9.94,-11.63,-43.13,-111.06,0.11,0.06,-0.32
904,115220004,BMP390,21.19,1007.5,-0.52,,,,,,
905,115279324,BNO,-97.94,-2.64,-9.94,-11.63,-43.13,-111.06,-0.39,-0.01,-0.07
906,115338923,GPS,0,0,0,0,0,0,,,
907,115373591,BMP390,21.19,1007.49,-0.47,,,,,,
908,115432937,BNO,-97.94,-2.64,-9.94,-11.69,-42.5,-110.63,-0.39,-0.01,-0.07
909,115488571,BMP390,21.18,1007.49,-0.48,,,,,,
910,115547940,BNO,-97.94,-2.64,-9.94,-11.69,-42.5,-110.63,0.02,0.2,0.11
911,115609517,GPS,0,0,0,0,0,0,,,
912,115643072,BMP390,21.18,1007.49,-0.43,,,,,,
913,115702386,BNO,-97.94,-2.64,-9.94,-11.69,-42.5,-110.63,0.25,-0.17,-0.06
914,115756791,BMP390,21.18,1007.49,-0.46,,,,,,
915,115816151,BNO,-97.56,-4.56,-11.25,-11.69,-42.5,-110.63,0.25,-0.17,-0.06
916,115876257,GPS,0,0,0,0,0,0,,,
917,115910669,BMP390,21.18,1007.5,-0.51,,,,,,
918,115970034,BNO,-97.56,-4.56,-11.25,-11.69,-42.5,-110.63,0.3,0.14,-0.16
919,116025727,BMP390,21.18,1007.49,-0.49,,,,,,
920,116119906,BNO,-96.76,-4.72,-10.91,-11.69,-42.5,-110.63,0.3,0.14,-0.16
921,116179740,GPS,0,0,0,0,0,0,,,
922,116214334,BMP390,21.18,1007.49,-0.48,,,,,,
923,116273644,BNO,-96.19,-4.85,-11.04,-11.69,-42.5,-110.63,0.3,0.14,-0.16
924,116328685,BMP390,21.17,1007.5,-0.52,,,,,,
925,116388101,BNO,-95.63,-5.12,-11.06,-11.69,-42.5,-110.63,0.3,0.14,-0.16
926,116423504,BMP390,21.17,1007.5,-0.51,,,,,,
927,116482843,BNO,-95.63,-5.12,-11.06,-11.69,-42.5,-110.63,0.44,-0.01,-0.08
928,116544240,GPS,0,0,0,0,0,0,,,
929,116597622,BMP390,21.17,1007.49,-0.45,,,,,,
930,116656930,BNO,-94.92,-4.72,-10.63,-11.69,-42.5,-110.63,0.44,-0.01,-0.08
931,116692785,BMP390,21.17,1007.49,-0.47,,,,,,
932,116752157,BNO,-94.57,-4.51,-10.42,-11.69,-42.5,-110.63,0.44,-0.01,-0.08
933,116812403,GPS,0,0,0,0,0,0,,,
934,116864445,BMP390,21.17,1007.49,-0.47,,,,,,
935,116923771,BNO,-93.33,-3.95,-8.73,-11.69,-42.5,-110.63,0.44,-0.01,-0.08
936,116959970,BMP390,21.17,1007.5,-0.53,,,,,,
937,117020481,BNO,-92.74,-3.7,-8.14,-11.69,-42.5,-110.63,0.44,-0.01,-0.08
938,117080428,GPS,0,0,0,0,0,0,,,
939,117133063,BMP390,21.17,1007.5,-0.56,,,,,,
940,117192440,BNO,-92.74,-3.7,-8.14,-8.06,-49.38,-115.31,0.44,-0.01,-0.08
941,117229176,BMP390,21.17,1007.5,-0.54,,,,,,
942,117288578,BNO,-90.52,-1.55,-5.13,-8.06,-49.38,-115.31,0.44,-0.01,-0.08
943,117349228,GPS,0,0,0,0,0,0,,,
944,117401043,BMP390,21.16,1007.5,-0.58,,,,,,
945,117460392,BNO,-88.43,0.66,-4.57,-8.06,-49.38,-115.31,0.44,-0.01,-0.08
946,117499247,BMP390,21.16,1007.5,-0.54,,,,,,
947,117558619,BNO,-87.74,1.76,-3.87,-8.06,-49.38,-115.31,0.44,-0.01,-0.08
948,117618772,GPS,0,0,0,0,0,0,,,
949,117672525,BMP390,21.16,1007.49,-0.48,,,,,,
950,117731931,BNO,-86.9,0.96,-3.97,-8.06,-49.38,-115.31,0.44,-0.01,-0.08
951,117768207,BMP390,21.16,1007.49,-0.49,,,,,,
952,117827551,BNO,-86.54,0.17,-4.55,-8.06,-49.38,-115.31,0.44,-0.01,-0.08
953,117887374,GPS,0,0,0,0,0,0,,,
954,117939514,BMP390,21.16,1007.49,-0.45,,,,,,
955,118033595,BNO,-86.54,0.17,-4.55,-6.31,-48.38,-113.69,0.44,-0.01,-0.08
956,118095821,GPS,0,0,0,0,0,0,,,
957,118131002,BMP390,21.16,1007.49,-0.5,,,,,,
958,118190393,BNO,-86.54,0.17,-4.55,-6.31,-48.38,-113.69,-0.54,-0.37,0.42
959,118247588,BMP390,21.15,1007.5,-0.51,,,,,,
960,118307017,BNO,-84.3,-0.62,-5.63,-6.31,-48.38,-113.69,-0.54,-0.37,0.42
961,118367919,GPS,0,0,0,0,0,0,,,
962,118402977,BMP390,21.15,1007.49,-0.49,,,,,,
963,118462391,BNO,-84.02,0.05,-5.2,-6.31,-48.38,-113.69,-0.54,-0.37,0.42
964,118518448,BMP390,21.15,1007.49,-0.47,,,,,,
965,118579491,BNO,-84.02,0.05,-5.2,-6.31,-48.38,-113.69,0.5,0.15,-0.34
966,118639639,GPS,0,0,0,0,0,0,,,
967,118673602,BMP390,21.15,1007.49,-0.49,,,,,,
968,118733075,BNO,-84.02,0.05,-5.2,-6.31,-48.38,-113.69,-0.07,-0.11,0.9
969,118787545,BMP390,21.15,1007.49,-0.47,,,,,,
970,118846902,BNO,-84.02,0.05,-5.2,-5.56,-48.94,-113.44,-0.07,-0.11,0.9
971,118907059,GPS,0,0,0,0,0,0,,,
972,118941723,BMP390,21.15,1007.5,-0.53,,,,,,
973,119001029,BNO,-84.02,0.05,-5.2,-5.19,-49.81,-114.06,-0.07,-0.11,0.9
974,119058182,BMP390,21.15,1007.49,-0.5,,,,,,
975,119117541,BNO,-84.66,5.29,-1.18,-5.19,-49.81,-114.06,-0.07,-0.11,0.9
976,119178461,GPS,0,0,0,0,0,0,,,
977,119213776,BMP390,21.15,1007.49,-0.48,,,,,,
978,119273279,BNO,-85.93,5.52,-1.15,-5.19,-49.81,-114.06,-0.07,-0.11,0.9
979,119328234,BMP390,21.14,1007.49,-0.46,,,,,,
980,119387772,BNO,-85.93,5.52,-1.15,-5.19,-49.81,-114.06,-0.07,0.37,0.33
981,119447932,GPS,0,0,0,0,0,0,,,
982,119484414,BMP390,21.14,1007.49,-0.45,,,,,,
983,119545730,BNO,-85.93,5.52,-1.15,-3,-65.56,-117.06,-0.07,0.37,0.33
984,119598615,BMP390,21.14,1007.49,-0.46,,,,,,
985,119658141,BNO,-85.93,5.52,-1.15,-3,-65.56,-117.06,-0.14,0.35,0.31
986,119718521,GPS,0,0,0,0,0,0,,,
987,119754355,BMP390,21.14,1007.5,-0.52,,,,,,
988,119813811,BNO,-85.93,5.52,-1.15,-3,-65.56,-117.06,-0.28,0.32,-0.15
989,119903824,BMP390,21.14,1007.5,-0.54,,,,,,
990,119963193,BNO,-85.93,5.52,-1.15,-3,-65.56,-117.06,0.04,-0.03,-0.28
991,120023528,GPS,0,0,0,0,0,0,,,
992,120060688,BMP390,21.13,1007.5,-0.55,,,,,,
993,120120061,BNO,-85.93,5.52,-1.15,-3,-65.56,-117.06,-0.07,0.07,-0.3
994,120173128,BMP390,21.13,1007.5,-0.52,,,,,,
995,120232460,BNO,-85.93,5.52,-1.15,-3,-65.56,-117.06,-0.27,0.07,-0.3
996,120292586,GPS,0,0,0,0,0,0,,,
997,120327746,BMP390,21.13,1007.5,-0.53,,,,,,
998,120387061,BNO,-85.93,5.52,-1.15,-3,-65.56,-117.06,0.29,-0.31,-0.39
999,120442222,BMP390,21.13,1007.5,-0.55,,,,,,
1000,120501591,BNO,-85.93,5.52,-1.15,-3,-65.56,-117.06,0.07,0.25,0.34
1001,120564194,GPS,0,0,0,0,0,0,,,
1002,120599746,BMP390,21.13,1007.5,-0.52,,,,,,
1003,120659087,BNO,-94.97,3.47,0.68,-3,-65.56,-117.06,0.07,0.25,0.34
1004,120715431,BMP390,21.13,1007.51,-0.59,,,,,,
1005,120774786,BNO,-95.47,3.83,1.01,-3,-65.56,-117.06,0.07,0.25,0.34
1006,120835039,GPS,0,0,0,0,0,0,,,
1007,120869044,BMP390,21.13,1007.5,-0.58,,,,,,
1008,120928393,BNO,-95.47,3.83,1.01,-3,-65.56,-117.06,-0.08,-0.06,-0.07
1009,120984483,BMP390,21.13,1007.5,-0.56,,,,,,
1010,121045757,BNO,-95.47,3.83,1.01,-1.56,-61.25,-117.5,-0.08,-0.06,-0.07
1011,121105993,GPS,0,0,0,0,0,0,,,
1012,121139598,BMP390,21.13,1007.5,-0.53,,,,,,
1013,121198912,BNO,-96.34,4.42,1.37,-1.56,-61.25,-117.5,-0.08,-0.06,-0.07
1014,121255564,BMP390,21.12,1007.49,-0.5,,,,,,
1015,121314940,BNO,-96.34,4.42,1.37,-1.56,-61.25,-117.5,0.64,-0.22,-0.21
1016,121375819,GPS,0,0,0,0,0,0,,,
1017,121409304,BMP390,21.12,1007.49,-0.46,,,,,,
1018,121468644,BNO,-95.62,4.24,2.61,-1.56,-61.25,-117.5,0.64,-0.22,-0.21
1019,121527811,BMP390,21.12,1007.48,-0.42,,,,,,
1020,121587154,BNO,-95.62,4.24,2.61,-11.5,-67.25,-105.63,0.64,-0.22,-0.21
1021,121647313,GPS,0,0,0,0,0,0,,,
1022,121681337,BMP390,21.12,1007.48,-0.38,,,,,,
1023,121775618,BNO,-95.62,4.24,2.61,-12.94,-66.81,-106.38,0.64,-0.22,-0.21
1024,121830239,BMP390,21.12,1007.49,-0.46,,,,,,
1025,121889639,BNO,-95.29,1.36,1.53,-12.94,-66.81,-106.38,0.64,-0.22,-0.21
1026,121950456,GPS,0,0,0,0,0,0,,,
1027,121984280,BMP390,21.12,1007.49,-0.5,,,,,,
1028,122042101,BNO,-95.29,1.36,1.53,-13.69,-65.94,-106.25,0.64,-0.22,-0.21
1029,122097759,BMP390,21.11,1007.5,-0.53,,,,,,
1030,122157118,BNO,-95.52,0.64,0.57,-13.69,-65.94,-106.25,0.64,-0.22,-0.21
1031,122217613,GPS,0,0,0,0,0,0,,,
1032,122252614,BMP390,21.11,1007.49,-0.48,,,,,,
1033,122311976,BNO,-95.92,0.66,0.16,-13.69,-65.94,-106.25,0.64,-0.22,-0.21
1034,122366709,BMP390,21.11,1007.5,-0.52,,,,,,
1035,122426052,BNO,-95.4,0.88,-0.05,-13.69,-65.94,-106.25,0.64,-0.22,-0.21
1036,122486248,GPS,0,0,0,0,0,0,,,
1037,122522864,BMP390,21.11,1007.5,-0.53,,,,,,
1038,122582207,BNO,-95.75,1.01,-0.2,-13.69,-65.94,-106.25,0.64,-0.22,-0.21
1039,122636988,BMP390,21.11,1007.5,-0.51,,,,,,
1040,122696380,BNO,-95.75,1.01,-0.2,-14.44,-65.38,-105.75,0.64,-0.22,-0.21
1041,122757245,GPS,0,0,0,0,0,0,,,
1042,122792518,BMP390,21.11,1007.49,-0.49,,,,,,
1043,122851848,BNO,-95.75,1.01,-0.2,-14.44,-65.38,-105.75,0.18,-0.03,0
1044,122907371,BMP390,21.11,1007.5,-0.52,,,,,,
1045,122966733,BNO,-95.75,1.01,-0.2,-13.31,-64.75,-105.81,0.18,-0.03,0
1046,123028647,GPS,0,0,0,0,0,0,,,
1047,123064085,BMP390,21.11,1007.5,-0.54,,,,,,
1048,123123447,BNO,-95.75,1.01,-0.2,-13.31,-64.75,-105.81,0.19,0.21,0.01
1049,123176423,BMP390,21.11,1007.5,-0.56,,,,,,
1050,123235750,BNO,-95.75,1.01,-0.2,-13.31,-64.75,-105.81,-0.08,-0.02,-0.07
1051,123295876,GPS,0,0,0,0,0,0,,,
1052,123330300,BMP390,21.11,1007.5,-0.54,,,,,,
1053,123389657,BNO,-95.75,1.01,-0.2,-13.31,-64.75,-105.81,0.08,-0.07,-0.11
1054,123444513,BMP390,21.1,1007.5,-0.55,,,,,,
1055,123505623,BNO,-96.76,2.06,-0.86,-13.31,-64.75,-105.81,0.08,-0.07,-0.11
1056,123566503,GPS,0,0,0,0,0,0,,,
1057,123610650,BMP390,21.1,1007.51,-0.61,,,,,,
1058,123670005,BNO,-96.76,2.06,-0.86,-13.31,-64.75,-105.81,-0.15,0.25,0.31
1059,123724944,BMP390,21.1,1007.51,-0.62,,,,,,
1060,123784270,BNO,-97.1,2.14,-0.83,-13.31,-64.75,-105.81,-0.15,0.25,0.31
1061,123844374,GPS,0,0,0,0,0,0,,,
1062,123878479,BMP390,21.1,1007.5,-0.54,,,,,,
1063,123937821,BNO,-97.1,2.14,-0.83,-13.31,-64.75,-105.81,0.14,-0.1,-0.04
1064,123994028,BMP390,21.1,1007.5,-0.53,,,,,,
1065,124053388,BNO,-97.1,2.14,-0.83,-14.31,-64.81,-106.63,0.14,-0.1,-0.04
1066,124113693,GPS,0,0,0,0,0,0,,,
1067,124147460,BMP390,21.1,1007.5,-0.56,,,,,,
1068,124206769,BNO,-97.1,2.14,-0.83,-13.88,-65.63,-104.5,0.14,-0.1,-0.04
1069,124264422,BMP390,21.1,1007.49,-0.46,,,,,,
1070,124323817,BNO,-97.1,2.14,-0.83,-13.88,-65.63,-104.5,-0.07,0.18,-0.02
1071,124384686,GPS,0,0,0,0,0,0,,,
1072,124418609,BMP390,21.1,1007.49,-0.49,,,,,,
1073,124479583,BNO,-97.1,2.14,-0.83,-13.88,-65.63,-104.5,0.13,0.02,0.11
1074,124535823,BMP390,21.09,1007.49,-0.45,,,,,,
1075,124595180,BNO,-97.1,2.14,-0.83,-13.81,-65.94,-105,0.13,0.02,0.11
1076,124655382,GPS,0,0,0,0,0,0,,,
1077,124689402,BMP390,21.09,1007.49,-0.5,,,,,,
1078,124748735,BNO,-97.1,2.14,-0.83,-13.81,-65.94,-105,0.01,0.03,-0.08
1079,124803936,BMP390,21.09,1007.49,-0.48,,,,,,
1080,124863314,BNO,-99,3.17,-0.26,-13.81,-65.94,-105,0.01,0.03,-0.08
1081,124898926,BMP390,21.09,1007.49,-0.46,,,,,,
1082,124959899,BNO,-99,3.17,-0.26,-11.44,-64.69,-105.25,0.01,0.03,-0.08
1083,125020039,GPS,0,0,0,0,0,0,,,
1084,125074537,BMP390,21.09,1007.49,-0.47,,,,,,
1085,125133914,BNO,-99.39,3.4,-0.18,-11.44,-64.69,-105.25,0.01,0.03,-0.08
1086,125169975,BMP390,21.09,1007.48,-0.4,,,,,,
1087,125229346,BNO,-99.61,3.32,0.07,-11.44,-64.69,-105.25,0.01,0.03,-0.08
1088,125289188,GPS,0,0,0,0,0,0,,,
1089,125343109,BMP390,21.09,1007.49,-0.47,,,,,,
1090,125402424,BNO,-99.67,3.77,1.29,-11.44,-64.69,-105.25,0.01,0.03,-0.08
1091,125448416,BMP390,21.09,1007.5,-0.52,,,,,,
1092,125507820,BNO,-99.67,3.77,1.29,-4.31,-64.44,-115.19,0.01,0.03,-0.08
1093,125568565,GPS,0,0,0,0,0,0,,,
1094,125622760,BMP390,21.09,1007.49,-0.5,,,,,,
1095,125682081,BNO,-99.67,3.77,1.29,-4.31,-64.44,-115.19,0.05,-0.05,0.29
1096,125719524,BMP390,21.08,1007.5,-0.56,,,,,,
1097,125778899,BNO,-99.67,3.77,1.29,-4.31,-64.44,-115.19,-0.09,0.14,-0.02
1098,125838717,GPS,0,0,0,0,0,0,,,
1099,125891871,BMP390,21.08,1007.51,-0.6,,,,,,
1100,125952869,BNO,-100.47,5.11,2.97,-4.31,-64.44,-115.19,-0.09,0.14,-0.02
1101,125988802,BMP390,21.08,1007.5,-0.58,,,,,,
1102,126048166,BNO,-100.47,5.11,2.97,-4.31,-64.44,-115.19,-0.06,0.17,-0.02
1103,126108786,GPS,0,0,0,0,0,0,,,
1104,126163392,BMP390,21.08,1007.5,-0.57,,,,,,
1105,126222695,BNO,-100.47,5.11,2.97,-4.31,-64.44,-115.19,0.05,0.11,0.09
1106,126259114,BMP390,21.08,1007.5,-0.55,,,,,,
1107,126318471,BNO,-100.47,5.11,2.97,-4.31,-64.44,-115.19,-0.2,0.08,-0.05
1108,126380256,GPS,0,0,0,0,0,0,,,
1109,126435146,BMP390,21.08,1007.5,-0.52,,,,,,
1110,126494494,BNO,-100.47,5.11,2.97,-4.31,-64.44,-115.19,-0.13,-0.18,0.13
1111,126530305,BMP390,21.07,1007.5,-0.57,,,,,,
1112,126589688,BNO,-100.85,4.57,2.49,-4.31,-64.44,-115.19,-0.13,-0.18,0.13
1113,126649568,GPS,0,0,0,0,0,0,,,
1114,126704379,BMP390,21.07,1007.5,-0.58,,,,,,
1115,126763700,BNO,-100.85,4.57,2.49,-2.38,-67.56,-116.88,-0.13,-0.18,0.13
1116,126797855,BMP390,21.07,1007.5,-0.57,,,,,,
1117,126857238,BNO,-100.85,4.57,2.49,-0.38,-67.19,-117.63,-0.13,-0.18,0.13
1118,126918913,GPS,0,0,0,0,0,0,,,
1119,126973438,BMP390,21.07,1007.51,-0.64,,,,,,
1120,127032770,BNO,-101.23,4.94,2.29,-0.38,-67.19,-117.63,-0.13,-0.18,0.13
1121,127067792,BMP390,21.07,1007.51,-0.65,,,,,,
1122,127127153,BNO,-101.23,4.94,2.29,-0.5,-67.75,-116.69,-0.13,-0.18,0.13
1123,127187726,GPS,0,0,0,0,0,0,,,
1124,127243907,BMP390,21.07,1007.51,-0.6,,,,,,
1125,127303276,BNO,-101.25,5,2.16,-0.5,-67.75,-116.69,-0.13,-0.18,0.13
1126,127400304,GPS,0,0,0,0,0,0,,,
1127,127433709,BMP390,21.07,1007.5,-0.56,,,,,,
1128,127493066,BNO,-101.43,5.08,2.15,-0.5,-67.75,-116.69,-0.13,-0.18,0.13
1129,127549696,BMP390,21.06,1007.5,-0.58,,,,,,
1130,127609082,BNO,-101.32,4.87,2.07,-0.5,-67.75,-116.69,-0.13,-0.18,0.13
1131,127669277,GPS,0,0,0,0,0,0,,,
1132,127702511,BMP390,21.06,1007.5,-0.56,,,,,,
1133,127761862,BNO,-101.16,4.95,2.32,-0.5,-67.75,-116.69,-0.13,-0.18,0.13
1134,127818035,BMP390,21.06,1007.5,-0.57,,,,,,
1135,127877417,BNO,-101.16,4.95,2.32,0.63,-70,-116.88,-0.13,-0.18,0.13
1136,127939480,GPS,0,0,0,0,0,0,,,
1137,127971531,BMP390,21.06,1007.5,-0.57,,,,,,
1138,128030918,BNO,-101.16,4.95,2.32,0.63,-70,-116.88,-0.04,0.11,-0.13
1139,128089661,BMP390,21.06,1007.5,-0.57,,,,,,
1140,128149059,BNO,-101.16,4.95,2.32,-2.38,-68.44,-116.94,-0.04,0.11,-0.13
1141,128209709,GPS,0,0,0,0,0,0,,,
1142,128242370,BMP390,21.06,1007.51,-0.62,,,,,,
1143,128301775,BNO,-101.16,4.95,2.32,-2.38,-68.44,-116.94,-0.01,0.22,0.17
1144,128358951,BMP390,21.06,1007.5,-0.57,,,,,,
1145,128419949,BNO,-101.16,4.95,2.32,-2.38,-68.44,-116.94,0.53,-0.6,-0.37
1146,128454057,BMP390,21.06,1007.5,-0.57,,,,,,
1147,128513498,BNO,-101.16,4.95,2.32,-2.38,-68.44,-116.94,0.05,0.02,-0.06
1148,128574099,GPS,0,0,0,0,0,0,,,
1149,128629454,BMP390,21.06,1007.5,-0.52,,,,,,
1150,128688789,BNO,-101.16,4.95,2.32,-2.38,-68.44,-116.94,0.14,0.11,0.37
1151,128723887,BMP390,21.06,1007.5,-0.55,,,,,,
1152,128783700,BNO,-101.86,5.08,2.24,-2.38,-68.44,-116.94,0.14,0.11,0.37
1153,128845374,GPS,0,0,0,0,0,0,,,
1154,128900902,BMP390,21.06,1007.49,-0.47,,,,,,
1155,128960207,BNO,-101.86,5.08,2.24,-2.38,-68.44,-116.94,0.28,-0.08,-0.38
1156,128994941,BMP390,21.06,1007.5,-0.54,,,,,,
1157,129054266,BNO,-101.86,5.08,2.24,-2.38,-68.44,-116.94,-0.07,-0.04,-0.04
1158,129114480,GPS,0,0,0,0,0,0,,,
1159,129169133,BMP390,21.05,1007.5,-0.56,,,,,,
1160,129263968,BNO,-101.86,5.08,2.24,-2.38,-68.44,-116.94,0.09,-0.15,-0.27
1161,129324895,GPS,0,0,0,0,0,0,,,
1162,129357242,BMP390,21.05,1007.5,-0.55,,,,,,
1163,129424656,BNO,-101.86,5.08,2.24,-0.81,-68.94,-117.63,0.09,-0.15,-0.27
1164,129481674,BMP390,21.05,1007.5,-0.55,,,,,,
1165,129541147,BNO,-101.86,5.08,2.24,-0.81,-68.94,-117.63,-0.25,-0.01,0.18
1166,129602024,GPS,0,0,0,0,0,0,,,
1167,129635201,BMP390,21.05,1007.5,-0.57,,,,,,
1168,129694756,BNO,-101.29,3.9,2.07,-0.81,-68.94,-117.63,-0.25,-0.01,0.18
1169,129751903,BMP390,21.04,1007.51,-0.6,,,,,,
1170,129811351,BNO,-101.29,3.9,2.07,-0.81,-68.94,-117.63,0.04,-0.12,-0.11
1171,129873475,GPS,0,0,0,0,0,0,,,
1172,129907531,BMP390,21.05,1007.5,-0.52,,,,,,
1173,129966864,BNO,-101.29,3.9,2.07,-0.81,-68.94,-117.63,0.05,-0.07,-0.03
1174,130023794,BMP390,21.04,1007.5,-0.56,,,,,,
1175,130083637,BNO,-101.29,3.9,2.07,-0.81,-68.94,-117.63,0.26,-0.15,-0.27
1176,130144383,GPS,0,0,0,0,0,0,,,
1177,130177935,BMP390,21.04,1007.5,-0.52,,,,,,
1178,130237260,BNO,-100.67,3.87,1.81,-0.81,-68.94,-117.63,0.26,-0.15,-0.27
1179,130294504,BMP390,21.04,1007.5,-0.53,,,,,,
1180,130353918,BNO,-100.67,3.87,1.81,-0.81,-68.94,-117.63,0.07,-0.21,-0.03
1181,130415786,GPS,0,0,0,0,0,0,,,
1182,130448908,BMP390,21.04,1007.51,-0.62,,,,,,
1183,130508249,BNO,-100.67,3.87,1.81,-3.13,-68.69,-116.94,0.07,-0.21,-0.03
1184,130565163,BMP390,21.04,1007.5,-0.58,,,,,,
1185,130624503,BNO,-100.67,3.87,1.81,-3.13,-68.69,-116.94,-0.01,0.33,-0.16
1186,130684723,GPS,0,0,0,0,0,0,,,
1187,130718940,BMP390,21.04,1007.5,-0.54,,,,,,
1188,130778294,BNO,-100.12,4.18,2.19,-3.13,-68.69,-116.94,-0.01,0.33,-0.16
1189,130837663,BMP390,21.04,1007.5,-0.52,,,,,,
1190,130897069,BNO,-100.24,5.04,2.92,-3.13,-68.69,-116.94,-0.01,0.33,-0.16
1191,130958431,GPS,0,0,0,0,0,0,,,
1192,130990651,BMP390,21.04,1007.5,-0.51,,,,,,
1193,131085360,BNO,-100.23,4.8,1.93,-3.13,-68.69,-116.94,-0.01,0.33,-0.16
1194,131142332,BMP390,21.04,1007.5,-0.55,,,,,,
1195,131201685,BNO,-99.79,5.17,2.97,-3.13,-68.69,-116.94,-0.01,0.33,-0.16
1196,131261794,GPS,0,0,0,0,0,0,,,
1197,131294578,BMP390,21.03,1007.5,-0.52,,,,,,
1198,131353916,BNO,-99.79,5.17,2.97,-3.13,-68.69,-116.94,0.25,-0.19,-0.01
1199,131412826,BMP390,21.03,1007.5,-0.55,,,,,,
1200,131472203,BNO,-99.79,5.17,2.97,-3.13,-68.69,-116.94,0.37,-0.08,-0.41
1201,131532698,GPS,0,0,0,0,0,0,,,
1202,131564777,BMP390,21.03,1007.49,-0.5,,,,,,
1203,131624089,BNO,-99.79,5.17,2.97,-3.13,-68.69,-116.94,0.25,-0.6,-0.06
1204,131681360,BMP390,21.03,1007.5,-0.51,,,,,,
1205,131740736,BNO,-99.79,5.17,2.97,-3.13,-68.69,-116.94,0.07,-0.19,-0.4
1206,131801530,GPS,0,0,0,0,0,0,,,
1207,131833371,BMP390,21.03,1007.49,-0.5,,,,,,
1208,131892765,BNO,-99.79,5.17,2.97,-3.13,-68.69,-116.94,0.12,0.08,0.06
1209,131951404,BMP390,21.03,1007.49,-0.49,,,,,,
1210,132010790,BNO,-99.93,5.32,1.74,-3.13,-68.69,-116.94,0.12,0.08,0.06
1211,132071015,GPS,0,0,0,0,0,0,,,
1212,132104363,BMP390,21.03,1007.48,-0.41,,,,,,
1213,132163740,BNO,-99.93,5.32,1.74,-3.13,-68.69,-116.94,-0.05,0.18,0.41
1214,132220783,BMP390,21.03,1007.49,-0.45,,,,,,
1215,132280186,BNO,-100.77,5.66,1.95,-3.13,-68.69,-116.94,-0.05,0.18,0.41
1216,132342748,GPS,0,0,0,0,0,0,,,
1217,132375530,BMP390,21.03,1007.48,-0.4,,,,,,
1218,132434849,BNO,-100.77,5.66,1.95,-3.13,-68.69,-116.94,0.3,-0.11,-0.22
1219,132492558,BMP390,21.03,1007.49,-0.45,,,,,,
1220,132551949,BNO,-100.36,5.78,2.45,-3.13,-68.69,-116.94,0.3,-0.11,-0.22
1221,132612562,GPS,0,0,0,0,0,0,,,
1222,132645912,BMP390,21.03,1007.49,-0.45,,,,,,
1223,132705305,BNO,-100.36,5.78,2.45,-3.13,-68.69,-116.94,0.19,-0.19,-0.47
1224,132763954,BMP390,21.02,1007.49,-0.43,,,,,,
1225,132823309,BNO,-100.35,5.28,1.41,-3.13,-68.69,-116.94,0.19,-0.19,-0.47
1226,132884818,GPS,0,0,0,0,0,0,,,
1227,132930127,BMP390,21.02,1007.49,-0.44,,,,,,
1228,132989466,BNO,-100.35,5.28,1.41,-3.13,-68.69,-116.94,-0.25,-0.12,0.13
1229,133046060,BMP390,21.02,1007.48,-0.36,,,,,,
1230,133105453,BNO,-100.35,5.28,1.41,-3.13,-68.69,-116.94,0.25,-0.02,-0.12
1231,133166376,GPS,0,0,0,0,0,0,,,
1232,133199293,BMP390,21.02,1007.48,-0.36,,,,,,
1233,133258649,BNO,-100.35,5.28,1.41,-3.13,-68.69,-116.94,0.3,-0.13,-0.51
1234,133317329,BMP390,21.02,1007.48,-0.37,,,,,,
1235,133376742,BNO,-100.35,5.28,1.41,-3.13,-68.69,-116.94,-0.38,0.45,0.42
1236,133436971,GPS,0,0,0,0,0,0,,,
